Размер векторов,Кол-во процессов,Время последовательно,Время параллельно,Результат
1000,8,2.1104e-05,0.114149,2506352
10000,8,0.000208564,0.000804733,24622682
100000,8,0.00210658,0.00514383,245223449
1000000,8,0.0209992,0.0394424,2447216982
10000000,8,0.21068,0.375511,24493962718
1000,16,2.1256e-05,0.0613422,2349622
10000,16,0.000208573,0.191102,24167949
100000,16,0.00208796,0.00537005,245062525
1000000,16,0.020988,0.0375288,2443437062
10000000,16,0.21133,0.376819,24506355724
1000,32,2.8816e-05,0.0568152,2451809
10000,32,0.000362005,0.412964,24348866
100000,32,0.00361961,0.00471831,244746985
1000000,32,0.0361485,0.0373454,2449559780
10000000,32,0.362606,0.406917,24499131972
